Embedding data shape: (3079, 768)
Epoch 1/1000, Loss: 13.6298
Epoch 2/1000, Loss: 11.9537
Epoch 3/1000, Loss: 12.1333
Epoch 4/1000, Loss: 12.0824
Epoch 5/1000, Loss: 11.9340
Epoch 6/1000, Loss: 12.0023
Epoch 7/1000, Loss: 12.2688
Epoch 8/1000, Loss: 12.2413
Epoch 9/1000, Loss: 12.2042
Epoch 10/1000, Loss: 12.3510
Epoch 11/1000, Loss: 12.2579
Epoch 12/1000, Loss: 12.2775
Epoch 13/1000, Loss: 12.0961
Epoch 14/1000, Loss: 12.1882
Epoch 15/1000, Loss: 12.0774
Epoch 16/1000, Loss: 11.9943
Epoch 17/1000, Loss: 12.1035
Epoch 18/1000, Loss: 12.0190
Epoch 19/1000, Loss: 12.0832
Epoch 20/1000, Loss: 12.0889
Epoch 21/1000, Loss: 12.0732
Epoch 22/1000, Loss: 12.0870
Epoch 23/1000, Loss: 12.1188
Epoch 24/1000, Loss: 12.0681
Epoch 25/1000, Loss: 12.0530
Epoch 26/1000, Loss: 12.0568
Epoch 27/1000, Loss: 12.1390
Epoch 28/1000, Loss: 12.0595
Epoch 29/1000, Loss: 12.0153
Epoch 30/1000, Loss: 12.0765
Epoch 31/1000, Loss: 11.9791
Epoch 32/1000, Loss: 12.1036
Epoch 33/1000, Loss: 12.0282
Epoch 34/1000, Loss: 12.0742
Epoch 35/1000, Loss: 12.0771
Epoch 36/1000, Loss: 12.1047
Epoch 37/1000, Loss: 12.0006
Epoch 38/1000, Loss: 11.9858
Epoch 39/1000, Loss: 11.9491
Epoch 40/1000, Loss: 12.0366
Epoch 41/1000, Loss: 11.9393
Epoch 42/1000, Loss: 11.9531
Epoch 43/1000, Loss: 11.9519
Epoch 44/1000, Loss: 11.9956
Epoch 45/1000, Loss: 12.0124
Epoch 46/1000, Loss: 11.9754
Epoch 47/1000, Loss: 11.9556
Epoch 48/1000, Loss: 11.9528
Epoch 49/1000, Loss: 11.9637
Epoch 50/1000, Loss: 12.0222
Epoch 51/1000, Loss: 12.0254
Epoch 52/1000, Loss: 11.9302
Epoch 53/1000, Loss: 11.9509
Epoch 54/1000, Loss: 11.9911
Epoch 55/1000, Loss: 11.9579
Epoch 56/1000, Loss: 11.9902
Epoch 57/1000, Loss: 12.0223
Epoch 58/1000, Loss: 11.9830
Epoch 59/1000, Loss: 11.9922
Epoch 60/1000, Loss: 11.9399
Epoch 61/1000, Loss: 12.0301
Epoch 62/1000, Loss: 11.9822
Epoch 63/1000, Loss: 11.9164
Epoch 64/1000, Loss: 12.0119
Epoch 65/1000, Loss: 11.9596
Epoch 66/1000, Loss: 11.9542
Epoch 67/1000, Loss: 11.9485
Epoch 68/1000, Loss: 11.9983
Epoch 69/1000, Loss: 12.0044
Epoch 70/1000, Loss: 11.9974
Epoch 71/1000, Loss: 11.9454
Epoch 72/1000, Loss: 11.9607
Epoch 73/1000, Loss: 11.9975
Epoch 74/1000, Loss: 11.9779
Epoch 75/1000, Loss: 11.9674
Epoch 76/1000, Loss: 11.9997
Epoch 77/1000, Loss: 11.9850
Epoch 78/1000, Loss: 11.9925
Epoch 79/1000, Loss: 11.9936
Epoch 80/1000, Loss: 11.9730
Epoch 81/1000, Loss: 11.9883
Epoch 82/1000, Loss: 11.9749
Epoch 83/1000, Loss: 11.9334
Epoch 84/1000, Loss: 11.9882
Epoch 85/1000, Loss: 12.0019
Epoch 86/1000, Loss: 11.9447
Epoch 87/1000, Loss: 11.9508
Epoch 88/1000, Loss: 12.0370
Epoch 89/1000, Loss: 11.8681
Epoch 90/1000, Loss: 11.9742
Epoch 91/1000, Loss: 12.0265
Epoch 92/1000, Loss: 11.9692
Epoch 93/1000, Loss: 12.0307
Epoch 94/1000, Loss: 11.9928
Epoch 95/1000, Loss: 11.9717
Epoch 96/1000, Loss: 11.9836
Epoch 97/1000, Loss: 11.9840
Epoch 98/1000, Loss: 11.9556
Epoch 99/1000, Loss: 11.9340
Epoch 100/1000, Loss: 11.9975
Epoch 101/1000, Loss: 11.9965
Epoch 102/1000, Loss: 11.9303
Epoch 103/1000, Loss: 11.9454
Epoch 104/1000, Loss: 11.9732
Epoch 105/1000, Loss: 11.9448
Epoch 106/1000, Loss: 12.0027
Epoch 107/1000, Loss: 11.9286
Epoch 108/1000, Loss: 11.9672
Epoch 109/1000, Loss: 11.9633
Epoch 110/1000, Loss: 11.9759
Epoch 111/1000, Loss: 11.9487
Epoch 112/1000, Loss: 11.9904
Epoch 113/1000, Loss: 11.9727
Epoch 114/1000, Loss: 11.9614
Epoch 115/1000, Loss: 11.9858
Epoch 116/1000, Loss: 11.9438
Epoch 117/1000, Loss: 11.9855
Epoch 118/1000, Loss: 11.9623
Epoch 119/1000, Loss: 11.9825
Epoch 120/1000, Loss: 12.0055
Epoch 121/1000, Loss: 11.9688
Epoch 122/1000, Loss: 11.9913
Epoch 123/1000, Loss: 11.9670
Epoch 124/1000, Loss: 11.9441
Epoch 125/1000, Loss: 11.9740
Epoch 126/1000, Loss: 11.9248
Epoch 127/1000, Loss: 11.9438
Epoch 128/1000, Loss: 11.9491
Epoch 129/1000, Loss: 11.9468
Epoch 130/1000, Loss: 11.9678
Epoch 131/1000, Loss: 11.9589
Epoch 132/1000, Loss: 11.9795
Epoch 133/1000, Loss: 11.9742
Epoch 134/1000, Loss: 11.9645
Epoch 135/1000, Loss: 11.9309
Epoch 136/1000, Loss: 11.9805
Epoch 137/1000, Loss: 11.9542
Epoch 138/1000, Loss: 11.9335
Epoch 139/1000, Loss: 11.9599
Epoch 140/1000, Loss: 11.9813
Epoch 141/1000, Loss: 11.9843
Epoch 142/1000, Loss: 11.9235
Epoch 143/1000, Loss: 11.9647
Epoch 144/1000, Loss: 11.9603
Epoch 145/1000, Loss: 11.9117
Epoch 146/1000, Loss: 11.9766
Epoch 147/1000, Loss: 11.9294
Epoch 148/1000, Loss: 11.9805
Epoch 149/1000, Loss: 11.9691
Epoch 150/1000, Loss: 11.9500
Epoch 151/1000, Loss: 11.9264
Epoch 152/1000, Loss: 11.9693
Epoch 153/1000, Loss: 11.9432
Epoch 154/1000, Loss: 11.9127
Epoch 155/1000, Loss: 11.9742
Epoch 156/1000, Loss: 11.9583
Epoch 157/1000, Loss: 11.9353
Epoch 158/1000, Loss: 11.9589
Epoch 159/1000, Loss: 11.9186
Epoch 160/1000, Loss: 11.9682
Epoch 161/1000, Loss: 11.9113
Epoch 162/1000, Loss: 11.9109
Epoch 163/1000, Loss: 11.9489
Epoch 164/1000, Loss: 11.8613
Epoch 165/1000, Loss: 12.0295
Epoch 166/1000, Loss: 11.9819
Epoch 167/1000, Loss: 11.9417
Epoch 168/1000, Loss: 11.9648
Epoch 169/1000, Loss: 11.9124
Epoch 170/1000, Loss: 11.9804
Epoch 171/1000, Loss: 12.0003
Epoch 172/1000, Loss: 11.9269
Epoch 173/1000, Loss: 11.9167
Epoch 174/1000, Loss: 11.9265
Epoch 175/1000, Loss: 11.8897
Epoch 176/1000, Loss: 11.9099
Epoch 177/1000, Loss: 11.9445
Epoch 178/1000, Loss: 11.9652
Epoch 179/1000, Loss: 11.9407
Epoch 180/1000, Loss: 11.9317
Epoch 181/1000, Loss: 11.9266
Epoch 182/1000, Loss: 11.9333
Epoch 183/1000, Loss: 11.9169
Epoch 184/1000, Loss: 11.9630
Epoch 185/1000, Loss: 11.9355
Epoch 186/1000, Loss: 11.9525
Epoch 187/1000, Loss: 11.9101
Epoch 188/1000, Loss: 11.9690
Epoch 189/1000, Loss: 11.9299
Epoch 190/1000, Loss: 11.9148
Epoch 191/1000, Loss: 11.9346
Epoch 192/1000, Loss: 11.9194
Epoch 193/1000, Loss: 11.9620
Epoch 194/1000, Loss: 11.9244
Epoch 195/1000, Loss: 11.9600
Epoch 196/1000, Loss: 11.9371
Epoch 197/1000, Loss: 11.9059
Epoch 198/1000, Loss: 11.9344
Epoch 199/1000, Loss: 11.9190
Epoch 200/1000, Loss: 11.8870
Epoch 201/1000, Loss: 11.9515
Epoch 202/1000, Loss: 11.9550
Epoch 203/1000, Loss: 11.9670
Epoch 204/1000, Loss: 11.8932
Epoch 205/1000, Loss: 11.9509
Epoch 206/1000, Loss: 11.9370
Epoch 207/1000, Loss: 11.9285
Epoch 208/1000, Loss: 12.0314
Epoch 209/1000, Loss: 11.9114
Epoch 210/1000, Loss: 11.8948
Epoch 211/1000, Loss: 11.9687
Epoch 212/1000, Loss: 11.9240
Epoch 213/1000, Loss: 11.9325
Epoch 214/1000, Loss: 11.9527
Epoch 215/1000, Loss: 11.9485
Epoch 216/1000, Loss: 11.9319
Epoch 217/1000, Loss: 11.8820
Epoch 218/1000, Loss: 11.8717
Epoch 219/1000, Loss: 12.0026
Epoch 220/1000, Loss: 11.9726
Epoch 221/1000, Loss: 11.9705
Epoch 222/1000, Loss: 11.9290
Epoch 223/1000, Loss: 11.9413
Epoch 224/1000, Loss: 11.9093
Epoch 225/1000, Loss: 11.9476
Epoch 226/1000, Loss: 11.9631
Epoch 227/1000, Loss: 11.9074
Epoch 228/1000, Loss: 11.9249
Epoch 229/1000, Loss: 11.9628
Epoch 230/1000, Loss: 11.9381
Epoch 231/1000, Loss: 11.9340
Epoch 232/1000, Loss: 11.8886
Epoch 233/1000, Loss: 11.9207
Epoch 234/1000, Loss: 11.9449
Epoch 235/1000, Loss: 11.9491
Epoch 236/1000, Loss: 11.8952
Epoch 237/1000, Loss: 11.9294
Epoch 238/1000, Loss: 11.9487
Epoch 239/1000, Loss: 11.8920
Epoch 240/1000, Loss: 11.9138
Epoch 241/1000, Loss: 12.0135
Epoch 242/1000, Loss: 11.9355
Epoch 243/1000, Loss: 11.9056
Epoch 244/1000, Loss: 11.9060
Epoch 245/1000, Loss: 11.8706
Epoch 246/1000, Loss: 11.9070
Epoch 247/1000, Loss: 11.8826
Epoch 248/1000, Loss: 11.9134
Epoch 249/1000, Loss: 11.8962
Epoch 250/1000, Loss: 11.9256
Epoch 251/1000, Loss: 11.9189
Epoch 252/1000, Loss: 11.9407
Epoch 253/1000, Loss: 11.9210
Epoch 254/1000, Loss: 11.9110
Epoch 255/1000, Loss: 11.9481
Epoch 256/1000, Loss: 11.9257
Epoch 257/1000, Loss: 11.9168
Epoch 258/1000, Loss: 11.9226
Epoch 259/1000, Loss: 11.9546
Epoch 260/1000, Loss: 11.9273
Epoch 261/1000, Loss: 11.9311
Epoch 262/1000, Loss: 11.9084
Epoch 263/1000, Loss: 11.9346
Epoch 264/1000, Loss: 11.9339
Epoch 265/1000, Loss: 11.9240
Epoch 266/1000, Loss: 11.9309
Epoch 267/1000, Loss: 11.9011
Epoch 268/1000, Loss: 11.9060
Epoch 269/1000, Loss: 11.9183
Epoch 270/1000, Loss: 11.9585
Epoch 271/1000, Loss: 11.9240
Epoch 272/1000, Loss: 11.9239
Epoch 273/1000, Loss: 11.9068
Epoch 274/1000, Loss: 11.9615
Epoch 275/1000, Loss: 11.9729
Epoch 276/1000, Loss: 11.9413
Epoch 277/1000, Loss: 11.9090
Epoch 278/1000, Loss: 11.9368
Epoch 279/1000, Loss: 11.9320
Epoch 280/1000, Loss: 11.9644
Epoch 281/1000, Loss: 11.9412
Epoch 282/1000, Loss: 11.9077
Epoch 283/1000, Loss: 11.9031
Epoch 284/1000, Loss: 11.9386
Epoch 285/1000, Loss: 11.9225
Epoch 286/1000, Loss: 11.9355
Epoch 287/1000, Loss: 11.9228
Epoch 288/1000, Loss: 11.8635
Epoch 289/1000, Loss: 11.9372
Epoch 290/1000, Loss: 11.9177
Epoch 291/1000, Loss: 11.9331
Epoch 292/1000, Loss: 11.9465
Epoch 293/1000, Loss: 11.9339
Epoch 294/1000, Loss: 11.9122
Epoch 295/1000, Loss: 11.9351
Epoch 296/1000, Loss: 11.8971
Epoch 297/1000, Loss: 11.8807
Epoch 298/1000, Loss: 11.9543
Epoch 299/1000, Loss: 11.9318
Epoch 300/1000, Loss: 11.9156
Epoch 301/1000, Loss: 11.9110
Epoch 302/1000, Loss: 11.8788
Epoch 303/1000, Loss: 11.9103
Epoch 304/1000, Loss: 11.9564
Epoch 305/1000, Loss: 11.9285
Epoch 306/1000, Loss: 11.9065
Epoch 307/1000, Loss: 11.9731
Epoch 308/1000, Loss: 11.8982
Epoch 309/1000, Loss: 11.9550
Epoch 310/1000, Loss: 11.9138
Epoch 311/1000, Loss: 11.9048
Epoch 312/1000, Loss: 11.8878
Epoch 313/1000, Loss: 11.9358
Epoch 314/1000, Loss: 11.9199
Epoch 315/1000, Loss: 11.9226
Epoch 316/1000, Loss: 11.9118
Epoch 317/1000, Loss: 11.9423
Epoch 318/1000, Loss: 11.8978
Epoch 319/1000, Loss: 11.9234
Epoch 320/1000, Loss: 11.9026
Epoch 321/1000, Loss: 11.9393
Epoch 322/1000, Loss: 11.8914
Epoch 323/1000, Loss: 11.9492
Epoch 324/1000, Loss: 11.8924
Epoch 325/1000, Loss: 11.9008
Epoch 326/1000, Loss: 11.8982
Epoch 327/1000, Loss: 11.9176
Epoch 328/1000, Loss: 11.9309
Epoch 329/1000, Loss: 11.9022
Epoch 330/1000, Loss: 11.8811
Epoch 331/1000, Loss: 11.9310
Epoch 332/1000, Loss: 11.8973
Epoch 333/1000, Loss: 11.9028
Epoch 334/1000, Loss: 11.8966
Epoch 335/1000, Loss: 11.9135
Epoch 336/1000, Loss: 11.8767
Epoch 337/1000, Loss: 11.8807
Epoch 338/1000, Loss: 11.8791
Epoch 339/1000, Loss: 11.9170
Epoch 340/1000, Loss: 11.9056
Epoch 341/1000, Loss: 11.8953
Epoch 342/1000, Loss: 11.9107
Epoch 343/1000, Loss: 11.9034
Epoch 344/1000, Loss: 11.9071
Epoch 345/1000, Loss: 11.9033
Epoch 346/1000, Loss: 11.9340
Epoch 347/1000, Loss: 11.9016
Epoch 348/1000, Loss: 11.9251
Epoch 349/1000, Loss: 11.9209
Epoch 350/1000, Loss: 11.9017
Epoch 351/1000, Loss: 11.9108
Epoch 352/1000, Loss: 11.9173
Epoch 353/1000, Loss: 11.8935
Epoch 354/1000, Loss: 11.8993
Epoch 355/1000, Loss: 11.9031
Epoch 356/1000, Loss: 11.9331
Epoch 357/1000, Loss: 11.8967
Epoch 358/1000, Loss: 11.9457
Epoch 359/1000, Loss: 11.8990
Epoch 360/1000, Loss: 11.9182
Epoch 361/1000, Loss: 11.9451
Epoch 362/1000, Loss: 11.9123
Epoch 363/1000, Loss: 11.8822
Epoch 364/1000, Loss: 11.9265
Epoch 365/1000, Loss: 11.9133
Epoch 366/1000, Loss: 11.9464
Epoch 367/1000, Loss: 11.8887
